Count of Victims,Age Group,Sex,Method of Killing,Domestic Abuse,Recorded Date,Homicide Offence Type,Solved Status,Borough,Officer Observed Ethnicity
1,35 to 44,Female,Other Method of Killing,No,May 2003,Manslaughter,Solved,Haringey,White
1,55 to 64,Male,Shooting,No,May 2003,Murder,Solved,Southwark,White
1,25 to 34,Male,Shooting,No,May 2003,Murder,Unsolved,Southwark,Black
1,45 to 54,Female,"Physical Assault, no weapon",Yes,May 2003,Murder,Solved,Southwark,White
1,25 to 34,Male,Blunt Implement,No,May 2003,Murder,Solved,Lewisham,White
1,20 to 24,Male,Knife or Sharp Implement,Yes,May 2003,Murder,Solved,Greenwich,Black
1,35 to 44,Male,Knife or Sharp Implement,No,May 2003,Murder,Solved,Greenwich,White
1,20 to 24,Female,Other Method of Killing,No,May 2003,Murder,Solved,Croydon,White
1,45 to 54,Male,Knife or Sharp Implement,Yes,May 2003,Murder,Solved,Tower Hamlets,White
1,25 to 34,Female,"Physical Assault, no weapon",Yes,May 2003,Murder,Solved,Tower Hamlets,White
1,25 to 34,Male,Not known/Not Recorded,No,May 2003,Murder,Solved,Hackney,Black
1,25 to 34,Male,Other Method of Killing,No,May 2003,Murder,Solved,Havering,White
1,55 to 64,Male,Blunt Implement,No,May 2003,Murder,Unsolved,Kensington & Chelsea,White
1,25 to 34,Male,Not known/Not Recorded,No,Jun 2003,Murder,Solved,Wandsworth,Asian
1,0 to 12,Female,"Physical Assault, no weapon",No,Jun 2003,Murder,Solved,Hounslow,White
1,25 to 34,Female,"Physical Assault, no weapon",Yes,Jun 2003,Murder,Solved,Hillingdon,Asian
1,20 to 24,Male,Knife or Sharp Implement,No,Jun 2003,Murder,Solved,Brent,Asian
1,45 to 54,Male,Knife or Sharp Implement,No,Jun 2003,Murder,Solved,Barnet,White
1,25 to 34,Male,Knife or Sharp Implement,No,Jun 2003,Murder,Solved,Ealing,Asian
1,25 to 34,Male,Blunt Implement,No,Jun 2003,Murder,Unsolved,Islington,White
1,65 and over,Male,Blunt Implement,No,Jun 2003,Murder,Unsolved,Hackney,White
1,25 to 34,Male,Blunt Implement,Yes,Jun 2003,Murder,Solved,Haringey,Black
1,35 to 44,Male,Shooting,No,Jun 2003,Murder,Solved,Lewisham,Asian
1,25 to 34,Male,Other Method of Killing,No,Jun 2003,Murder,Solved,Greenwich,White
1,13 to 19,Female,Other Method of Killing,No,Jun 2003,Murder,Solved,Croydon,Asian
1,13 to 19,Male,Knife or Sharp Implement,No,Jun 2003,Murder,Solved,Redbridge,Asian
1,0 to 12,Male,Other Method of Killing,No,Jun 2003,Murder,Solved,Redbridge,White
1,25 to 34,Female,Other Method of Killing,No,Jun 2003,Murder,Solved,Hackney,Black
1,13 to 19,Male,Shooting,No,Jun 2003,Murder,Solved,Hackney,Black
1,65 and over,Male,Knife or Sharp Implement,No,Jun 2003,Murder,Unsolved,Hackney,White
1,35 to 44,Male,Knife or Sharp Implement,No,Jun 2003,Murder,Solved,Waltham Forest,White
1,20 to 24,Female,"Physical Assault, no weapon",Yes,Jun 2003,Murder,Solved,Waltham Forest,White
1,25 to 34,Male,Knife or Sharp Implement,No,Jun 2003,Murder,Solved,Enfield,White
1,20 to 24,Male,Blunt Implement,No,Jun 2003,Murder,Solved,Newham,Asian
1,35 to 44,Male,Shooting,No,Jun 2003,Murder,Unsolved,Westminster,Asian
1,45 to 54,Female,Other Method of Killing,Yes,Jul 2003,Murder,Solved,Hillingdon,White
1,20 to 24,Female,Blunt Implement,No,Jul 2003,Murder,Solved,Hounslow,Asian
1,45 to 54,Female,Blunt Implement,No,Jul 2003,Murder,Solved,Hounslow,Asian
1,0 to 12,Male,Blunt Implement,No,Jul 2003,Murder,Solved,Hounslow,Asian
1,0 to 12,Male,Blunt Implement,No,Jul 2003,Murder,Solved,Hounslow,Asian
1,45 to 54,Male,Not known/Not Recorded,No,Jul 2003,Murder,Solved,Barnet,Black
1,0 to 12,Female,Not known/Not Recorded,No,Jul 2003,Murder,Solved,Haringey,White
1,25 to 34,Male,Knife or Sharp Implement,No,Jul 2003,Murder,Solved,Southwark,Black
1,35 to 44,Male,Other Method of Killing,No,Jul 2003,Murder,Solved,Southwark,White
1,45 to 54,Male,Knife or Sharp Implement,No,Jul 2003,Murder,Solved,Southwark,White
1,35 to 44,Male,Not known/Not Recorded,No,Jul 2003,Murder,Solved,Greenwich,White
1,35 to 44,Male,Knife or Sharp Implement,No,Jul 2003,Murder,Solved,Croydon,Asian
1,35 to 44,Male,Other Method of Killing,No,Jul 2003,Murder,Solved,Croydon,White
1,65 and over,Female,Other Method of Killing,No,Jul 2003,Murder,Solved,Tower Hamlets,Asian
1,65 and over,Female,"Physical Assault, no weapon",No,Jul 2003,Murder,Solved,Tower Hamlets,White
1,25 to 34,Male,Knife or Sharp Implement,No,Jul 2003,Murder,Solved,Redbridge,White
1,25 to 34,Male,Knife or Sharp Implement,Yes,Jul 2003,Murder,Solved,Redbridge,White
1,0 to 12,Male,Other Method of Killing,No,Jul 2003,Murder,Solved,Hackney,White
1,0 to 12,Male,Other Method of Killing,No,Jul 2003,Murder,Solved,Hackney,White
1,35 to 44,Male,Other Method of Killing,No,Jul 2003,Murder,Solved,Hackney,Black
1,13 to 19,Male,Shooting,No,Jul 2003,Murder,Solved,Waltham Forest,Black
1,35 to 44,Male,Other Method of Killing,No,Jul 2003,Murder,Solved,Barking & Dagenham,Black
1,45 to 54,Male,Blunt Implement,No,Jul 2003,Murder,Solved,Barking & Dagenham,Asian
1,20 to 24,Female,"Physical Assault, no weapon",No,Jul 2003,Murder,Solved,Newham,White
1,45 to 54,Female,Knife or Sharp Implement,Yes,Jul 2003,Murder,Solved,Newham,White
1,25 to 34,Female,Knife or Sharp Implement,Yes,Jul 2003,Murder,Solved,Newham,Asian
1,13 to 19,Male,Knife or Sharp Implement,No,Jul 2003,Murder,Solved,Newham,Black
1,25 to 34,Male,Other Method of Killing,No,Jul 2003,Manslaughter,Solved,Westminster,White
1,25 to 34,Male,Knife or Sharp Implement,No,Aug 2003,Murder,Solved,Richmond Upon Thames,Other
1,35 to 44,Female,Other Method of Killing,No,Aug 2003,Murder,Solved,Brent,Asian
1,35 to 44,Female,Knife or Sharp Implement,Yes,Aug 2003,Murder,Solved,Westminster,White
1,13 to 19,Male,Knife or Sharp Implement,No,Aug 2003,Murder,Solved,Brent,Asian
1,0 to 12,Female,Not known/Not Recorded,No,Aug 2003,Murder,Solved,Ealing,Asian
1,35 to 44,Female,Blunt Implement,No,Aug 2003,Murder,Solved,Croydon,Asian
1,35 to 44,Male,Knife or Sharp Implement,No,Aug 2003,Murder,Solved,Tower Hamlets,Black
1,25 to 34,Female,Knife or Sharp Implement,Yes,Aug 2003,Murder,Solved,Redbridge,White
1,45 to 54,Male,Other Method of Killing,No,Aug 2003,Murder,Solved,Hackney,Black
1,13 to 19,Male,Knife or Sharp Implement,No,Aug 2003,Murder,Solved,Hackney,Asian
1,35 to 44,Male,Other Method of Killing,No,Aug 2003,Murder,Solved,Waltham Forest,White
1,45 to 54,Male,Shooting,No,Aug 2003,Murder,Solved,Newham,Asian
1,35 to 44,Male,Shooting,No,Aug 2003,Murder,Solved,Newham,Asian
1,25 to 34,Male,Knife or Sharp Implement,No,Aug 2003,Murder,Solved,Havering,White
1,20 to 24,Male,Knife or Sharp Implement,No,Aug 2003,Murder,Solved,Hammersmith & Fulham,Black
1,45 to 54,Male,"Physical Assault, no weapon",No,Sep 2003,Murder,Solved,Greenwich,Asian
1,45 to 54,Male,Blunt Implement,No,Sep 2003,Murder,Solved,Kingston Upon Thames,White
1,25 to 34,Male,Knife or Sharp Implement,No,Sep 2003,Murder,Unsolved,Lambeth,Black
1,65 and over,Male,Other Method of Killing,No,Sep 2003,Manslaughter,Solved,Lambeth,Black
1,35 to 44,Female,Knife or Sharp Implement,Yes,Sep 2003,Murder,Solved,Lambeth,White
1,35 to 44,Male,Shooting,No,Sep 2003,Murder,Solved,Brent,Black
1,0 to 12,Female,Shooting,No,Sep 2003,Murder,Solved,Brent,Black
1,20 to 24,Male,Not known/Not Recorded,No,Sep 2003,Murder,Solved,Harrow,White
1,25 to 34,Male,Knife or Sharp Implement,No,Sep 2003,Murder,Solved,Camden,Black
1,45 to 54,Male,Not known/Not Recorded,No,Sep 2003,Murder,Solved,Ealing,White
1,25 to 34,Male,Knife or Sharp Implement,No,Sep 2003,Murder,Solved,Islington,White
1,13 to 19,Male,Knife or Sharp Implement,No,Sep 2003,Murder,Solved,Southwark,Black
1,35 to 44,Male,"Physical Assault, no weapon",No,Sep 2003,Murder,Solved,Southwark,White
1,13 to 19,Male,Knife or Sharp Implement,No,Sep 2003,Murder,Solved,Lewisham,Black
1,35 to 44,Male,Knife or Sharp Implement,No,Sep 2003,Murder,Solved,Lewisham,Black
1,65 and over,Female,Blunt Implement,Yes,Sep 2003,Murder,Solved,Lewisham,White
1,20 to 24,Female,Knife or Sharp Implement,Yes,Sep 2003,Murder,Solved,Greenwich,White
1,25 to 34,Male,Knife or Sharp Implement,No,Sep 2003,Murder,Solved,Newham,Asian
1,45 to 54,Male,Knife or Sharp Implement,No,Oct 2003,Murder,Solved,Hounslow,Asian
1,25 to 34,Male,Shooting,No,Oct 2003,Murder,Unsolved,Lambeth,Black
1,45 to 54,Female,Other Method of Killing,Yes,Oct 2003,Murder,Solved,Brent,Black
1,55 to 64,Male,Knife or Sharp Implement,No,Oct 2003,Murder,Solved,Islington,White
1,35 to 44,Male,Knife or Sharp Implement,Yes,Oct 2003,Murder,Solved,Islington,White
1,25 to 34,Male,Knife or Sharp Implement,No,Oct 2003,Murder,Solved,Haringey,White
1,25 to 34,Male,Knife or Sharp Implement,No,Oct 2003,Murder,Solved,Haringey,Black
1,55 to 64,Male,Shooting,No,Oct 2003,Murder,Unsolved,Southwark,White
1,45 to 54,Male,Knife or Sharp Implement,No,Oct 2003,Murder,Solved,Greenwich,White
1,25 to 34,Male,Knife or Sharp Implement,No,Oct 2003,Murder,Solved,Croydon,Asian
1,25 to 34,Male,Knife or Sharp Implement,No,Oct 2003,Murder,Solved,Tower Hamlets,Asian
1,35 to 44,Female,Knife or Sharp Implement,Yes,Oct 2003,Murder,Solved,Redbridge,White
1,25 to 34,Male,Other Method of Killing,No,Oct 2003,Murder,Solved,Hackney,White
1,25 to 34,Female,Other Method of Killing,No,Oct 2003,Murder,Solved,Hackney,White
1,25 to 34,Male,Other Method of Killing,No,Oct 2003,Murder,Solved,Hackney,Black
1,45 to 54,Male,Knife or Sharp Implement,No,Oct 2003,Murder,Solved,Hackney,White
1,65 and over,Female,Knife or Sharp Implement,Yes,Oct 2003,Murder,Solved,Hackney,Black
1,20 to 24,Male,Knife or Sharp Implement,No,Oct 2003,Murder,Solved,Waltham Forest,Asian
1,25 to 34,Female,"Physical Assault, no weapon",Yes,Oct 2003,Murder,Solved,Waltham Forest,Asian
1,25 to 34,Male,Knife or Sharp Implement,Yes,Oct 2003,Murder,Solved,Enfield,Black
1,55 to 64,Male,Knife or Sharp Implement,No,Oct 2003,Murder,Solved,Enfield,White
1,20 to 24,Male,Knife or Sharp Implement,No,Oct 2003,Murder,Solved,Newham,White
1,45 to 54,Female,Not known/Not Recorded,Yes,Oct 2003,Murder,Solved,Hammersmith & Fulham,White
1,25 to 34,Male,"Physical Assault, no weapon",No,Nov 2003,Murder,Solved,Lambeth,White
1,35 to 44,Male,Not known/Not Recorded,No,Nov 2003,Murder,Unsolved,Lambeth,White
1,45 to 54,Male,Blunt Implement,No,Nov 2003,Murder,Solved,Harrow,Asian
1,35 to 44,Male,Knife or Sharp Implement,No,Nov 2003,Murder,Solved,Haringey,White
1,35 to 44,Male,Knife or Sharp Implement,Yes,Nov 2003,Murder,Solved,Haringey,White
1,20 to 24,Male,Knife or Sharp Implement,No,Nov 2003,Murder,Solved,Lewisham,Black
1,20 to 24,Male,Knife or Sharp Implement,No,Nov 2003,Murder,Solved,Greenwich,White
1,20 to 24,Male,Shooting,No,Nov 2003,Murder,Solved,Hackney,White
1,55 to 64,Male,Blunt Implement,Yes,Nov 2003,Murder,Solved,Enfield,White
1,20 to 24,Male,Other Method of Killing,No,Nov 2003,Murder,Solved,Havering,White
1,20 to 24,Male,"Physical Assault, no weapon",No,Nov 2003,Murder,Solved,Havering,White
1,35 to 44,Male,Shooting,No,Nov 2003,Murder,Unsolved,Hammersmith & Fulham,Other
1,45 to 54,Male,Knife or Sharp Implement,Yes,Dec 2003,Murder,Solved,Hillingdon,White
1,20 to 24,Male,Shooting,No,Dec 2003,Murder,Unsolved,Lambeth,Black
1,65 and over,Male,Other Method of Killing,No,Dec 2003,Murder,Solved,Lambeth,White
1,35 to 44,Female,Knife or Sharp Implement,No,Dec 2003,Murder,Solved,Greenwich,White
1,65 and over,Female,Other Method of Killing,No,Dec 2003,Manslaughter,Solved,Greenwich,White
1,13 to 19,Male,Knife or Sharp Implement,No,Dec 2003,Murder,Solved,Greenwich,White
1,13 to 19,Male,Other Method of Killing,No,Dec 2003,Murder,Solved,Croydon,White
1,0 to 12,Male,Other Method of Killing,No,Dec 2003,Murder,Solved,Sutton,White
1,45 to 54,Female,Knife or Sharp Implement,Yes,Dec 2003,Murder,Solved,Tower Hamlets,Asian
1,0 to 12,Female,Other Method of Killing,No,Dec 2003,Murder,Unsolved,Hackney,Black
1,55 to 64,Male,Blunt Implement,No,Dec 2003,Murder,Solved,Hackney,White
1,45 to 54,Male,Knife or Sharp Implement,No,Dec 2003,Murder,Unsolved,Waltham Forest,White
1,65 and over,Male,Other Method of Killing,No,Dec 2003,Manslaughter,Solved,Barking & Dagenham,Black
1,45 to 54,Male,Other Method of Killing,No,Dec 2003,Murder,Solved,Enfield,White
1,25 to 34,Female,"Physical Assault, no weapon",Yes,Jan 2004,Murder,Solved,Richmond Upon Thames,White
1,45 to 54,Male,Knife or Sharp Implement,No,Jan 2004,Murder,Solved,Lambeth,Black
1,20 to 24,Male,Shooting,No,Jan 2004,Murder,Solved,Lambeth,Black
1,25 to 34,Female,Other Method of Killing,Yes,Jan 2004,Murder,Solved,Merton,White
1,45 to 54,Male,Knife or Sharp Implement,No,Jan 2004,Murder,Solved,Haringey,White
1,35 to 44,Male,Knife or Sharp Implement,No,Jan 2004,Murder,Solved,Haringey,Black
1,55 to 64,Female,"Physical Assault, no weapon",Yes,Jan 2004,Murder,Solved,Haringey,White
1,20 to 24,Male,Knife or Sharp Implement,No,Jan 2004,Murder,Solved,Lewisham,Asian
1,13 to 19,Male,Other Method of Killing,No,Jan 2004,Murder,Solved,Bromley,Black
1,65 and over,Female,"Physical Assault, no weapon",Yes,Jan 2004,Murder,Solved,Croydon,White
1,35 to 44,Male,Other Method of Killing,No,Jan 2004,Manslaughter,Solved,Croydon,White
1,45 to 54,Male,Other Method of Killing,No,Jan 2004,Manslaughter,Solved,Croydon,White
1,13 to 19,Male,Knife or Sharp Implement,No,Jan 2004,Murder,Solved,Tower Hamlets,Black
1,35 to 44,Male,Blunt Implement,No,Jan 2004,Murder,Solved,Redbridge,Black
1,20 to 24,Male,Knife or Sharp Implement,No,Jan 2004,Murder,Solved,Hackney,Black
1,20 to 24,Male,Knife or Sharp Implement,No,Jan 2004,Murder,Solved,Waltham Forest,Black
1,35 to 44,Male,Knife or Sharp Implement,No,Jan 2004,Murder,Solved,Newham,Black
1,25 to 34,Male,Blunt Implement,No,Jan 2004,Murder,Solved,Newham,Asian
1,13 to 19,Male,Knife or Sharp Implement,No,Jan 2004,Murder,Solved,Newham,White
1,25 to 34,Male,Knife or Sharp Implement,No,Jan 2004,Murder,Solved,Havering,White
1,55 to 64,Female,"Physical Assault, no weapon",Yes,Jan 2004,Murder,Solved,Hammersmith & Fulham,White
1,25 to 34,Female,"Physical Assault, no weapon",Yes,Feb 2004,Murder,Solved,Richmond Upon Thames,Asian
1,35 to 44,Male,Knife or Sharp Implement,No,Feb 2004,Murder,Solved,Croydon,Black
1,25 to 34,Male,Knife or Sharp Implement,No,Feb 2004,Murder,Solved,Tower Hamlets,White
1,45 to 54,Male,Knife or Sharp Implement,No,Feb 2004,Murder,Solved,Waltham Forest,White
1,35 to 44,Male,Blunt Implement,No,Feb 2004,Murder,Solved,Havering,White
1,55 to 64,Female,Other Method of Killing,No,Mar 2004,Murder,Solved,Hillingdon,Asian
1,45 to 54,Female,Knife or Sharp Implement,No,Mar 2004,Murder,Solved,Hillingdon,White
1,35 to 44,Male,Not known/Not Recorded,No,Mar 2004,Murder,Solved,Brent,White
1,25 to 34,Male,Knife or Sharp Implement,Yes,Mar 2004,Murder,Solved,Ealing,White
1,13 to 19,Male,Shooting,No,Mar 2004,Murder,Unsolved,Ealing,Black
1,25 to 34,Male,Shooting,No,Mar 2004,Murder,Solved,Haringey,Black
1,13 to 19,Female,Knife or Sharp Implement,Yes,Mar 2004,Murder,Solved,Southwark,White
1,65 and over,Female,"Physical Assault, no weapon",Yes,Mar 2004,Murder,Solved,Southwark,Asian
1,55 to 64,Male,Other Method of Killing,No,Mar 2004,Murder,Solved,Southwark,White
1,20 to 24,Male,Knife or Sharp Implement,No,Mar 2004,Murder,Solved,Lewisham,Black
1,35 to 44,Male,Knife or Sharp Implement,No,Mar 2004,Murder,Solved,Lewisham,Black
1,65 and over,Male,Knife or Sharp Implement,No,Mar 2004,Murder,Solved,Greenwich,White
1,45 to 54,Male,Not known/Not Recorded,Yes,Mar 2004,Murder,Solved,Redbridge,Asian
1,0 to 12,Male,Other Method of Killing,No,Mar 2004,Murder,Solved,Hackney,White
1,35 to 44,Female,"Physical Assault, no weapon",No,Mar 2004,Murder,Solved,Enfield,White
1,45 to 54,Male,Not known/Not Recorded,No,Mar 2004,Murder,Solved,Westminster,White
1,20 to 24,Female,Knife or Sharp Implement,No,Mar 2004,Murder,Unsolved,Westminster,Black
1,45 to 54,Male,Not known/Not Recorded,No,Apr 2004,Murder,Solved,Wandsworth,White
1,13 to 19,Male,Blunt Implement,No,Apr 2004,Murder,Solved,Wandsworth,Black
1,35 to 44,Female,Other Method of Killing,Yes,Apr 2004,Murder,Solved,Hounslow,Asian
1,0 to 12,Male,Other Method of Killing,No,Apr 2004,Manslaughter,Unsolved,Hillingdon,Asian
1,35 to 44,Male,Knife or Sharp Implement,No,Apr 2004,Murder,Solved,Lambeth,Black
1,35 to 44,Female,Not known/Not Recorded,Yes,Apr 2004,Murder,Solved,Ealing,White
1,65 and over,Male,Other Method of Killing,No,Apr 2004,Murder,Solved,Ealing,Asian
1,35 to 44,Female,Not known/Not Recorded,Yes,Apr 2004,Murder,Solved,Haringey,Black
1,25 to 34,Female,Not known/Not Recorded,No,Apr 2004,Murder,Solved,Islington,Black
1,45 to 54,Male,Knife or Sharp Implement,No,Apr 2004,Murder,Solved,Haringey,White
1,20 to 24,Male,Shooting,No,Apr 2004,Murder,Solved,Southwark,Black
1,0 to 12,Male,Other Method of Killing,No,Apr 2004,Murder,Solved,Southwark,Black
1,0 to 12,Female,Other Method of Killing,No,Apr 2004,Murder,Solved,Lewisham,White
1,35 to 44,Male,Not known/Not Recorded,No,Apr 2004,Murder,Solved,Bexley,White
1,65 and over,Female,Other Method of Killing,No,Apr 2004,Murder,Unsolved,Redbridge,White
1,35 to 44,Male,Knife or Sharp Implement,No,Apr 2004,Murder,Solved,Hackney,White
1,65 and over,Female,"Physical Assault, no weapon",Yes,Apr 2004,Murder,Solved,Waltham Forest,White
1,25 to 34,Male,Knife or Sharp Implement,No,Apr 2004,Murder,Solved,Barking & Dagenham,White
1,25 to 34,Male,Shooting,No,Apr 2004,Murder,Unsolved,Enfield,Black
1,20 to 24,Male,Knife or Sharp Implement,No,Apr 2004,Murder,Solved,Newham,Asian
1,25 to 34,Male,Shooting,No,Apr 2004,Murder,Solved,Kensington & Chelsea,Black
1,20 to 24,Male,Shooting,No,Apr 2004,Murder,Solved,Kensington & Chelsea,Black
1,25 to 34,Male,Knife or Sharp Implement,No,May 2004,Murder,Solved,Lambeth,Black
1,35 to 44,Male,Other Method of Killing,No,May 2004,Murder,Solved,Brent,Asian
1,25 to 34,Male,Other Method of Killing,No,May 2004,Murder,Solved,Brent,Asian
1,20 to 24,Male,Shooting,No,May 2004,Murder,Solved,Brent,Black
1,35 to 44,Male,Knife or Sharp Implement,No,May 2004,Murder,Solved,Camden,White
1,13 to 19,Male,Knife or Sharp Implement,No,May 2004,Murder,Solved,Ealing,Black
1,20 to 24,Male,Knife or Sharp Implement,No,May 2004,Murder,Solved,Islington,White
1,35 to 44,Male,Knife or Sharp Implement,No,May 2004,Murder,Solved,Bromley,White
1,13 to 19,Male,Knife or Sharp Implement,No,May 2004,Murder,Solved,Sutton,White
1,25 to 34,Female,Blunt Implement,Yes,May 2004,Murder,Solved,Tower Hamlets,Asian
1,35 to 44,Male,Not known/Not Recorded,No,May 2004,Murder,Solved,Newham,White
1,20 to 24,Male,Knife or Sharp Implement,No,May 2004,Murder,Solved,Redbridge,White
